#front;back
杏;あんず<br><br>apricot
逸話;いつわ<br><br>anecdote
栞;しおり<br><br>bookmark
最優遇;さいゆうぐう<br><br>most favorable treatment, most favourable treatment, very warm reception, warm reception
酷;こく<br><br>severe, harsh, strict, unfair
栽培;さいばい<br><br>cultivation
疎外;そがい<br><br>estrangement, neglect, alienation
応酬;おうしゅう<br><br>exchange, reciprocation
空欄;くうらん<br><br>blank space
酷使;こくし<br><br>exploitation, overuse, abuse
欄干;らんかん<br><br>guardrail, handrail, bannister
欄外;らんがい<br><br>margin
殊に;ことに<br><br>especially, particularly, additionally, unusually
犠牲者;ぎせいしゃ<br><br>victim
自叙伝;じじょでん<br><br>autobiography
阿呆;あほう, あほ<br><br>fool, simpleton, idiot
時期尚早;じきしょうそう<br><br>premature
悠々;ゆうゆう<br><br>quiet, calm, leisurely, easy
風呂屋;ふろや<br><br>public bathhouse
報酬;ほうしゅう<br><br>reward, compensation
贈呈;ぞうてい<br><br>presentation
紋;もん<br><br>family crest, crest, coat of arms
兵糧;ひょうろう<br><br>army provisions, provisions
茨城県;いばらきけん<br><br>ibaraki prefecture
怠ける;なまける<br><br>to neglect, to be idle, to slack
膨らむ;ふくらむ<br><br>to expand, to swell, to get big, to become inflated
逸らす;そらす<br><br>to turn away, to avert
酷暑;こくしょ<br><br>intense heat
過酷;かこく<br><br>severity, rigor, cruelty, harsh
酷似;こくじ<br><br>resemblance, resemble
癒着;ゆちゃく<br><br>adhesion, collusion
国賓;こくひん<br><br>state guest
脊髄;せきずい<br><br>spinal cord
栓抜き;せんぬき<br><br>bottle opener, corkscrew
栓;せん<br><br>cork, stopper, plug
来賓;らいひん<br><br>guest, visitor
真髄;しんずい<br><br>essence, pith, true meaning
老舗;しにせ, ろうほ<br><br>old shop, old store
虜;とりこ<br><br>captive, prisoner, victim to love, slave to lust
赴任;ふにん<br><br>move for a different job, move for a job
一旦;いったん<br><br>once, for a moment, temporarily
旦那;だんな<br><br>master, husband, male patron
輪郭;りんかく<br><br>outline, border, silhouette, summary, features, appearance
鎮圧;ちんあつ<br><br>suppression, subjugation
鎮痛剤;ちんつうざい<br><br>painkiller, pain reliever, sedative, tranquilizer, tranquiliser
骨髄;こつずい<br><br>bone marrow, marrow
該当;がいとう<br><br>correspond, fulfilling, applicable to, qualifying as
披露宴;ひろうえん<br><br>wedding reception, reception
賓客;ひんきゃく, ひんかく<br><br>guest of honor, privileged guest, guest of honour
傍;そば, はた<br><br>near, close, beside
抹殺;まっさつ<br><br>denial, erasure, obliteration, ignoring
傍観;ぼうかん<br><br>look on, sit by and watch, spectate
