#front;back
顧みる;かえりみる<br><br>to look back on, to reflect on
回顧録;かいころく<br><br>memoirs, reminiscences
唱える;となえる<br><br>to chant
駐車場;ちゅうしゃじょう<br><br>parking lot
駐留軍;ちゅうりゅうぐん<br><br>stationed troops, occupying troops
駆ける;かける<br><br>to gallop, to drive, to spur on
歌唱;かしょう<br><br>singing, song
孝行;こうこう<br><br>filial piety
不孝;ふこう<br><br>disobedience to parents, lack of filial piety
俊才;しゅんさい<br><br>genius, person of exceptional talent, exceptionally talented person
巡る;めぐる<br><br>to go around, to return
巡査;じゅんさ<br><br>police, policeman
捕獲;ほかく<br><br>capture, seizure
名誉;めいよ<br><br>honor, prestige, honour
訓戒;くんかい<br><br>warning, admonition
排出;はいしゅつ<br><br>emission
透ける;すける<br><br>to be transparent, to be see through
敏感;びんかん<br><br>sensitivity, sensitive to, sensibility
鋭い;するどい<br><br>sharp
敷金;しききん<br><br>security deposit
殿堂;でんどう<br><br>palace
屋敷;やしき<br><br>residence, estate
繁茂;はんも<br><br>luxuriant growth
頻りに;しきりに<br><br>frequently, repeatedly, often
褒美;ほうび<br><br>reward, prize
殖える;ふえる<br><br>to multiply, to increase
頻発;ひんぱつ<br><br>frequency, frequent occurrence
〜房;ふさ<br><br>section, bunch
外堀;そとぼり<br><br>outer moat
