#front;back
様々;さまざま<br><br>various, many
謝る;あやまる<br><br>to apologize, to apologise
伝わる;つたわる<br><br>to be transmitted
養う;やしなう<br><br>to foster, to raise, to rear
事情;じじょう<br><br>circumstances
〜様;さま<br><br>formal name ender, formal name title, sama, very formal name ender
駅;えき<br><br>station, train station
映像;えいぞう<br><br>reflection, image
選ぶ;えらぶ<br><br>to choose
感じる;かんじる<br><br>to feel
殺す;ころす<br><br>to kill
神風;かみかぜ<br><br>kamikaze, divine winds
表情;ひょうじょう<br><br>facial expression
感謝;かんしゃ<br><br>thanks, gratitude
養子;ようし<br><br>adopted child, son in law
感心;かんしん<br><br>admiration
心願;しんがん<br><br>heartfelt desire, heartfelt wish, prayer, heart's desire
入館料;にゅうかんりょう<br><br>admission fee, entrance fee, entry fee
駅長;えきちょう<br><br>station master, stationmaster, train station master, train stationmaster
賞金;しょうきん<br><br>cash prize, prize money
輪;わ<br><br>ring, wheel, loop
旅館;りょかん<br><br>japanese inn, japanese hotel, inn, ryokan, japanese style inn, japanese style hotel
初めに;はじめに<br><br>beginning, in the beginning, first of all, to begin with
整然;せいぜん<br><br>orderly, systematic, well organized, natural order
熱;ねつ<br><br>fever, heat
学問;がくもん<br><br>scholarship, study, learning
暗記;あんき<br><br>memorization, memorize, memorisation, memorise
同感;どうかん<br><br>sympathy, same sentiment, concurrence, agree, empathy
追いかける;おいかける<br><br>to follow, to stalk, to chase, to run after, to pursue
駅員;えきいん<br><br>train station employee, train station staff, train station attendant, station attendant, station employee
実感;じっかん<br><br>real feeling, actual feeling
体育;たいいく<br><br>pe class, pe, physical education, gym class
女神;めがみ<br><br>goddess, female deity
別れる;わかれる<br><br>to separate, to be divided, to part from
整理;せいり<br><br>arrangement, sorting, organization, adjustment
宿;やど<br><br>lodging, inn, hotel, lodge
疑問;ぎもん<br><br>doubt
映る;うつる<br><br>to be reflected, to be projected
放れる;はなれる<br><br>to be released
待合室;まちあいしつ<br><br>waiting room
飲み会;のみかい<br><br>drinking party
情け;なさけ<br><br>pity, sympathy, mercy, compassion
感想;かんそう<br><br>impressions, one's impressions, thoughts
楽器;がっき<br><br>musical instrument
画像;がぞう<br><br>image, portrait, picture
右利き;みぎきき<br><br>right handed
暗い;くらい<br><br>dark
問題;もんだい<br><br>problem, question
器;うつわ<br><br>container, bowl, vessel
