#front;back
醜聞;しゅうぶん<br><br>scandal
匿名;とくめい<br><br>anonymity, pseudonym
升;ます<br><br>grid, box, measuring container, measure
升目;ますめ<br><br>square, box, measure
唄う;うたう<br><br>to sing, to recite, to chant
囚人;しゅうじん<br><br>prisoner, convict
婿;むこ<br><br>husband, groom, son in law
花婿;はなむこ<br><br>bridegroom, groom
寡婦;かふ<br><br>widow
寡黙;かもく<br><br>silent, shy
帆船;ほせん, ほぶね<br><br>sailboat, sailing boat, sailing ship
管弦楽団;かんげんがくだん<br><br>orchestra
思慕;しぼ<br><br>yearning, deep affection
某;ぼう<br><br>certain, one
湧水;ゆうすい, わきみず<br><br>spring, welling of water
慕う;したう<br><br>to yearn for, to miss, to adore
感慨深い;かんがいぶかい<br><br>deeply moving, deeply emotive
戯れ;たわむれ<br><br>play flirt, laugh, joke
桟橋;さんばし<br><br>wharf, pier
分泌;ぶんぴつ, ぶんぴ<br><br>secretion, discharge
隠匿;いんとく<br><br>hide, concealment, conceal
煩雑;はんざつ<br><br>complex, intricate, complicated
漸く;ようやく<br><br>finally, at last, narrowly, hardly
廉価;れんか<br><br>low price, cheap
赤痢;せきり<br><br>dysentery
醜い;みにくい<br><br>ugly, unattractive, unsightly, unseemly
渓流;けいりゅう<br><br>mountain stream
感慨無量;かんがいむりょう<br><br>deep emotion, deeply moved, filled with emotion
