#front;back
災い;わざわい<br><br>personal disaster, personal misfortune
犯人;はんにん<br><br>criminal
非難;ひなん<br><br>criticism
被害;ひがい<br><br>damage, harm, injury
有罪;ゆうざい<br><br>guilty
危機;きき<br><br>crisis
経験;けいけん<br><br>experience
人類学;じんるいがく<br><br>anthropology
血圧;けつあつ<br><br>blood pressure
余震;よしん<br><br>aftershock
防止;ぼうし<br><br>prevention
鼻の穴;はなのあな<br><br>nostril, nose hole
飛ぶ;とぶ<br><br>to fly, to jump
地震;じしん<br><br>earthquake
経験者;けいけんしゃ<br><br>experienced person
震度;しんど<br><br>earthquake intensity, earthquake magnitude, magnitude, earthquake scale
水害;すいがい<br><br>flood damage, water damage
無害;むがい<br><br>harmless
穴;あな<br><br>hole
火災;かさい<br><br>fire disaster
正確;せいかく<br><br>accurate, precise, exact
忘れ物;わすれもの<br><br>forgotten item, something forgotten, forgotten thing, lost property
夫妻;ふさい<br><br>husband and wife
存在;そんざい<br><br>existence
機械;きかい<br><br>machine, mechanism
煙い;けむい<br><br>smoky
在外;ざいがい<br><br>overseas, abroad
機嫌;きげん<br><br>mood
比率;ひりつ<br><br>percentage, ratio
災難;さいなん<br><br>misfortune, calamity, disaster
悪夢;あくむ<br><br>nightmare, bad dream
一個;いっこ<br><br>one small thing, one thing, one small object, one object
機;き<br><br>machine, chance, opportunity
手洗い;てあらい<br><br>hand washing, bathroom, restroom, lavatory, washing the hands
個人;こじん<br><br>personal, individual
個室;こしつ<br><br>private room, one's own room
厚い;あつい<br><br>thick
静々;しずしず<br><br>quietly, calmly
公害;こうがい<br><br>pollution
一夫多妻;いっぷたさい<br><br>polygamy
予防;よぼう<br><br>prevention, prevent
確率;かくりつ<br><br>probability
実在;じつざい<br><br>reality, real existence
余裕;よゆう<br><br>surplus, leeway, room
文句する;もんくする<br><br>to complain
犯す;おかす<br><br>to commit a crime, to perpetrate
残余;ざんよ<br><br>remainder, residual
経つ;たつ<br><br>to pass, to expire
妨げる;さまたげる<br><br>to obstruct, to prevent, to hamper
妨害;ぼうがい<br><br>obstruction, interference
防水;ぼうすい<br><br>waterproof, watertight
裕福;ゆうふく<br><br>wealth
面倒;めんどう<br><br>trouble, difficulty
議会;ぎかい<br><br>diet, the diet, congress, parliament
防火;ぼうか<br><br>fire prevention, fire fighting, fire proof
臭い;くさい<br><br>stinky, stinking, to be stinky, smelly, to be smelly
確かに;たしかに<br><br>certain, probable, surely, certainly
夢中;むちゅう<br><br>crazy about, absorption, mad about
