#front;back
散歩する;さんぽする<br><br>to go for a walk, to go for a stroll, to take a walk, to take a stroll
散らかす;ちらかす<br><br>to scatter
貨物船;かもつせん<br><br>freighter, freight ship
掃除機;そうじき<br><br>vacuum cleaner
華々しい;はなばなしい<br><br>gorgeous, flamboyant, brilliant, remarkable
墓場;はかば<br><br>graveyard, cemetery
窓口;まどぐち<br><br>ticket window
宣伝;せんでん<br><br>propaganda, advertising
宣言;せんげん<br><br>proclamation, declaration
拡がる;ひろがる<br><br>to extend, to spread
忠告;ちゅうこく<br><br>advice, admonishment
漠然;ばくぜん<br><br>vague
操る;あやつる<br><br>to manipulate
肺がん;はいがん<br><br>lung cancer
体操;たいそう<br><br>calisthenics, gymnastics
灰色;はいいろ<br><br>gray, grey, gray color, grey color, grey colour, gray colour
未熟;みじゅく<br><br>not yet good at, not good at
異なる;ことなる<br><br>to differ
天皇;てんのう<br><br>emperor of japan, emperor
砂糖;さとう<br><br>sugar
納める;おさめる<br><br>to supply, to deliver, to pay
収納;しゅうのう<br><br>storage
肺;はい<br><br>lung
肺病;はいびょう<br><br>lung disease
著しい;いちじるしい<br><br>remarkable, marked
賃貸;ちんたい<br><br>rental
諸君;しょくん<br><br>gentlemen, my friends
家賃;やちん<br><br>house rent, rent
武装;ぶそう<br><br>arms, armament, armed
簡易;かんい<br><br>simple, easy
散らし;ちらし<br><br>leaflet, handbill, flyer, scattering
異常;いじょう<br><br>abnormal, strange, disorder
否;いな, いいえ, いえ, いや<br><br>no
沿岸;えんがん<br><br>coast, shore
豆;まめ<br><br>beans
悲劇;ひげき<br><br>tragedy
牛丼;ぎゅうどん<br><br>beef bowl, beef rice bowl
劇的;げきてき<br><br>dramatic
降る;ふる<br><br>to fall, to come down
通勤;つうきん<br><br>commute
聖書;せいしょ<br><br>bible
聖地;せいち<br><br>holy land, holy ground
肺臓;はいぞう<br><br>lung
内臓;ないぞう<br><br>internal organ
誤算;ごさん<br><br>miscalculation
誤字;ごじ<br><br>typo
じゃが芋;じゃがいも<br><br>white potato, irish potato
劇団;げきだん<br><br>drama troupe
歓迎;かんげい<br><br>a welcome, welcome
小豆;あずき<br><br>azuki beans, adzuki beans
爪;つめ<br><br>claw, nail, talon, hoof
沿海;えんかい<br><br>coastal waters, coast
聖日;せいじつ<br><br>holy day
推薦;すいせん<br><br>recommendation
磁気;じき<br><br>magnetism
爪切り;つめきり<br><br>nail clipper
込める;こめる<br><br>to include
追い越す;おいこす<br><br>to overtake
腐る;くさる<br><br>to rot
幕;まく<br><br>curtain
損;そん<br><br>disadvantage, handicap, loss
字幕;じまく<br><br>subtitles
劇場;げきじょう<br><br>theater, theatre
純毛;じゅんもう<br><br>all wool
複数形;ふくすうけい<br><br>plural
傷つく;きずつく<br><br>to get hurt
兄貴;あにき<br><br>older brother, big brother, elder brother, one's senior
言い訳;いいわけ<br><br>excuse, explanation
誤解;ごかい<br><br>misunderstanding
誤用;ごよう<br><br>misuse
沿線;えんせん<br><br>along the train line
興味がない;きょうみがない<br><br>no interest, not interested
詰め込む;つめこむ<br><br>to stuff, to cram
降参;こうさん<br><br>surrender
承認;しょうにん<br><br>approval
神聖;しんせい<br><br>holiness, holy
推理;すいり<br><br>reasoning, inference
焼き芋;やきいも<br><br>roast potato, baked potato
拝見する;はいけんする<br><br>to have a look at, to see
芋;いも<br><br>potato
縮まる;ちぢまる, ちじまる<br><br>to shrink, to contract
縮小;しゅくしょう<br><br>reduction, cut
縦;たて<br><br>vertical
粋;いき<br><br>stylish
磁場;じば<br><br>magnetic field
発射する;はっしゃする<br><br>to launch, to fire
